shipmentId;districtName;townName;;;;;
a19d09e3-1804-4999-9d68-ce829c545083;MACUL;;;;;;
276ba275-a844-418b-a4c0-d4ee867786bb;ALGARROBO;ALGARROBO - ALGARROBO;;;;;
6ee4c1a0-7d0b-4961-a4ad-8fe4a4da5d2f;ANGOL;ANGOL;;;;;
db6d26d8-a0a5-444c-80b5-cf9bd31f2721;ANGOL;ANGOL;;;;;
f8afe8b5-8db5-4e4a-a657-5724acc6857c;DIEGO DE ALMAGRO;DIEGO DE ALMAGRO - EL SALVADOR;;;;;
bfc76ce1-ca4f-4f31-a8b1-32d5f3e6baca;PENCO;PENCO - LIRQUEN;;;;;
34b02572-e3e2-47d8-b475-c49eb343ae9c;EL BOSQUE;;;;;;
ea9767ce-6395-478c-8677-8dff2522556f;PENCO;PENCO - LIRQUEN;;;;;
27321d26-933c-4a6a-8897-6b9fbb00cb06;DIEGO DE ALMAGRO;DIEGO DE ALMAGRO - EL SALVADOR;;;;;
20c01de7-d901-42bd-a6d7-2eeee79a469e;PEÑALOLÉN;;;;;;
290e455f-4598-4d80-82fc-5f0fe1d56f1c;ALGARROBO;ALGARROBO - ALGARROBO;;;;;
613b8659-4a4c-4d59-9b42-2c85b34db571;ALGARROBO;ALGARROBO - ALGARROBO;;;;;
ae629f61-65db-4640-a336-0d16cd2994f9;ALHUÉ;ALHUÉ;;;;;
a6f9fae6-8aac-4c77-ad01-95f7880f3331;ALHUÉ;ALHUÉ;;;;;
ef87a03c-21aa-49e5-87d8-1606ee50d0ea;ALHUÉ;ALHUÉ;;;;;
4f2e67c9-7425-46ca-9b42-fbc620365d10;ALHUÉ;ALHUÉ;;;;;
eac5cde8-4e85-4942-a2d2-3567060a5149;DIEGO DE ALMAGRO;DIEGO DE ALMAGRO - EL SALVADOR;;;;;
d6526624-9199-4e28-acfd-b18e37ef0cb6;QUELLÓN;QUELLÓN;;;;;
719e545b-00bc-4f4e-aeda-2dc2ecb9ede2;CERRO NAVIA;;;;;;
e8090bfc-ee8f-484b-814c-cd4c1bdcc116;ALHUÉ;ALHUÉ;;;;;
0949cf01-9ba6-440f-8c83-de46fcbf6ace;RENAICO;RENAICO - MININCO;;;;;
52d2d481-957c-46f0-9f67-8a653f86e631;SANTA MARÍA;SANTA MARÍA;;;;;
b359a3c1-b5b7-4e74-86ad-6bbbaf7e26f9;SANTA MARÍA;SANTA MARÍA;;;;;
58600b21-e9cd-436f-a490-4b289f1adace;ALGARROBO;ALGARROBO - ALGARROBO;;;;;
69221fc6-c454-499e-ad32-ef88c05fb28e;ALTO BIOBÍO;ALTO BIOBÍO;;;;;
7ec2874f-8b45-430e-a0fb-5f5af15beaf9;ALTO BIOBÍO;ALTO BIOBÍO;;;;;
3d0ce630-a477-46a4-b5b2-cdddac397433;ALTO BIOBÍO;ALTO BIOBÍO;;;;;
0f04b618-7b18-421b-b4f4-8c2c161d5dd7;PUDAHUEL;PUDAHUEL - PUDAHUEL;;;;;
9720212e-5eae-4500-916e-8f9774c436a9;CATEMU;CATEMU;;;;;
